filename,foreground,background,is_train
d32ea6d318626ca14a967d0c1ad3218aebfe636624a8d1173f5150dde8ff38cf.png,white,black,True
4596961c789d3b41916492918797724fe75128239fefc516c3ee75322b7926f0.png,white,black,True
b6edad733399c83c8eb7a59c0d37b54e10cc0d59894e39ff843884d84f61dee1.png,white,black,True
831218e6a1a54b23d4be56c5799854e7eb978811b89215319dc138900bd563e6.png,white,black,True
b1e3aeb0c56261c17eb71c747d116057b8da7e8c8a6845bdc01b2b3ee2299229.png,white,black,True
4a424e0cb845cf6fd4d9fe62875552c7b89a4e0276cf16ebf46babe4656a794e.png,white,black,True
43cf6b2ec0b0745ac2b87b4d8780f62e9050d3f5d50a1fcefa42d166191e84c6.png,white,black,True
f487cc82271cf84b4414552aa8b0a9d82d902451ebe8e8bc639d4121c1672ff7.png,white,black,True
bf7691b0a79811fa068b7408cbce636a73f01ef9e971a95da1a2d96df73782b6.png,white,black,True
df33b11184427e05c8a450f921586685975fe975f57315e686a0f26fddb93db1.png,white,black,True
b2c23ddb04531158da6a0abcaca78fec0ae5c6f64f60166e4f36f4a161efd76f.png,white,black,True
72e8c49dea44787114fd191f9e97e260f961c6e7ae4715bc95cc91db8d91a4e3.png,white,black,True
e321cfa987e77c21373a0f8b1236c83d6636306949a82a7f5b07fc0838e7777f.png,white,black,True
80632d6be60c8462e50d51bcf5caf15308931603095d6b5e772a115cd0d0470c.png,white,black,True
697a05c6fe4a07c601d46da80885645ad574ea19b47ee795ccff216c9f1f1808.png,white,black,False
70827e40a7155391984e56703c6df3392fb4a94bbd6c7008da6a6ca3244965d9.png,white,black,True
31f1fbe85b8899258ea5bcf5f93f7ac8238660c386aeab40649c715bd2e38a0a.png,white,black,False
6fe2df6de1d962b90146c822bcefc84d0d3d6926fdfbacd3acdc9de830ee5622.png,white,black,True
e9b8ad127f2163438b6236c74938f43d7b4863aaf39a16367f4af59bfd96597b.png,white,black,True
ae9f76b5360df3f60f3cdd389652b96e823080bb830dd8c79e7f1e597d51bc1c.png,white,black,True
45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3.png,white,black,True
ddf1bf458312de2895dd9cc5ce7ec9d334ad54c35edc96ad6001d20b1d8588d8.png,white,black,True
a22b7882fa85b9f0fcef659a7b82bfcddf01710f9a7617a9e036e84ac6901841.png,white,black,True
54fe2d3416951cbc48f8718624c86a7ae58b6022a7fa75591b13f625cf53658b.png,white,black,True
6bd18a218d25247dc456aed124c066a6397fb93086e860e4d04014bfa9c9555d.png,white,black,True
2bf594e9d06f78b4b79d7ffb395497a0a91126b6b0d710d7a9cee21f5c3bd177.png,white,black,True
2b50b1e3fa5c5aa39bc84ebfaea9961b7199c4d2488ae0b48d0b3459807d59d2.png,white,black,True
56d0da5b663ddd49955478c00ca03118c367ff7dd6a646b8c875b0acb207d1c5.png,white,black,True
5bda829acd824821bc1f3f6573cf065d364653d5322f033a4af943f7a6170566.png,white,black,True
a486f6ed4b8781e7883e433d06a83dd66db3e8b36d45b9976c4214820ee22629.png,white,black,True
3b3f516ebc9a16cff287a5ffd3a1861a345a6d38bedbba74f1c0b0e0eac62afd.png,white,black,True
519dc0d672d1c295fc69b629af8721ccb1a1f136d1976685a68487e62547ffe0.png,white,black,False
